chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
人,rén,Bộ Nhân — người,人们,rénmen,mọi người,Bộ thủ 1 · Người & cơ thể
口,kǒu,Bộ Khẩu — miệng,门口,ménkǒu,cửa ra vào,Bộ thủ 1 · Người & cơ thể
女,nǚ,"Bộ Nữ — nữ, phụ nữ",女人,nǚrén,phụ nữ,Bộ thủ 1 · Người & cơ thể
子,zǐ,"Bộ Tử — con, đứa trẻ",孩子,háizi,đứa trẻ,Bộ thủ 1 · Người & cơ thể
目,mù,Bộ Mục — mắt,目光,mùguāng,ánh mắt,Bộ thủ 1 · Người & cơ thể
耳,ěr,Bộ Nhĩ — tai,耳朵,ěrduo,cái tai,Bộ thủ 1 · Người & cơ thể
心,xīn,"Bộ Tâm — tim, lòng",小心,xiǎoxīn,cẩn thận,Bộ thủ 1 · Người & cơ thể
手,shǒu,Bộ Thủ — tay,手机,shǒujī,điện thoại,Bộ thủ 1 · Người & cơ thể
足,zú,Bộ Túc — chân,足球,zúqiú,bóng đá,Bộ thủ 1 · Người & cơ thể
见,jiàn,"Bộ Kiến — thấy, nhìn",看见,kànjiàn,nhìn thấy,Bộ thủ 1 · Người & cơ thể
日,rì,"Bộ Nhật — mặt trời, ngày",日子,rìzi,ngày tháng,Bộ thủ 2 · Thiên nhiên
月,yuè,"Bộ Nguyệt — mặt trăng, tháng",月亮,yuèliang,mặt trăng,Bộ thủ 2 · Thiên nhiên
水,shuǐ,Bộ Thủy — nước,水果,shuǐguǒ,trái cây,Bộ thủ 2 · Thiên nhiên
火,huǒ,Bộ Hỏa — lửa,火车,huǒchē,tàu hỏa,Bộ thủ 2 · Thiên nhiên
土,tǔ,Bộ Thổ — đất,土地,tǔdì,đất đai,Bộ thủ 2 · Thiên nhiên
山,shān,Bộ Sơn — núi,山水,shānshuǐ,non nước,Bộ thủ 2 · Thiên nhiên
石,shí,Bộ Thạch — đá,石头,shítou,hòn đá,Bộ thủ 2 · Thiên nhiên
雨,yǔ,Bộ Vũ — mưa,下雨,xiàyǔ,trời mưa,Bộ thủ 2 · Thiên nhiên
风,fēng,Bộ Phong — gió,大风,dàfēng,gió lớn,Bộ thủ 2 · Thiên nhiên
气,qì,"Bộ Khí — hơi, không khí",空气,kōngqì,không khí,Bộ thủ 2 · Thiên nhiên
木,mù,"Bộ Mộc — cây, gỗ",树木,shùmù,cây cối,Bộ thủ 2 · Thiên nhiên
马,mǎ,Bộ Mã — ngựa,马路,mǎlù,đường cái,Bộ thủ 3 · Động thực vật
鱼,yú,Bộ Ngư — cá,金鱼,jīnyú,cá vàng,Bộ thủ 3 · Động thực vật
鸟,niǎo,Bộ Điểu — chim,小鸟,xiǎoniǎo,chim nhỏ,Bộ thủ 3 · Động thực vật
牛,niú,"Bộ Ngưu — trâu, bò",牛奶,niúnǎi,sữa bò,Bộ thủ 3 · Động thực vật
羊,yáng,"Bộ Dương — dê, cừu",山羊,shānyáng,con dê,Bộ thủ 3 · Động thực vật
虫,chóng,"Bộ Trùng — sâu bọ, côn trùng",昆虫,kūnchóng,côn trùng,Bộ thủ 3 · Động thực vật
米,mǐ,Bộ Mễ — gạo,大米,dàmǐ,gạo,Bộ thủ 3 · Động thực vật
禾,hé,Bộ Hòa — lúa,禾苗,hémiáo,mạ lúa,Bộ thủ 3 · Động thực vật
竹,zhú,Bộ Trúc — tre,竹子,zhúzi,cây tre,Bộ thủ 3 · Động thực vật
田,tián,Bộ Điền — ruộng,田地,tiándì,ruộng đất,Bộ thủ 3 · Động thực vật
门,mén,Bộ Môn — cửa,大门,dàmén,cổng lớn,Bộ thủ 4 · Đồ vật & tính chất
车,chē,Bộ Xa — xe,汽车,qìchē,ô tô,Bộ thủ 4 · Đồ vật & tính chất
衣,yī,"Bộ Y — áo, quần áo",衣服,yīfu,quần áo,Bộ thủ 4 · Đồ vật & tính chất
食,shí,"Bộ Thực — ăn, thức ăn",食物,shíwù,thức ăn,Bộ thủ 4 · Đồ vật & tính chất
金,jīn,"Bộ Kim — vàng, kim loại",黄金,huángjīn,vàng,Bộ thủ 4 · Đồ vật & tính chất
言,yán,Bộ Ngôn — lời nói,语言,yǔyán,ngôn ngữ,Bộ thủ 4 · Đồ vật & tính chất
刀,dāo,Bộ Đao — dao,小刀,xiǎodāo,con dao,Bộ thủ 4 · Đồ vật & tính chất
弓,gōng,Bộ Cung — cung (nỏ),弓箭,gōngjiàn,cung tên,Bộ thủ 4 · Đồ vật & tính chất
大,dà,Bộ Đại — lớn,大人,dàrén,người lớn,Bộ thủ 4 · Đồ vật & tính chất
小,xiǎo,Bộ Tiểu — nhỏ,小孩,xiǎohái,trẻ nhỏ,Bộ thủ 4 · Đồ vật & tính chất
力,lì,Bộ Lực — sức lực,力气,lìqi,sức lực,Bộ thủ 4 · Đồ vật & tính chất
骨,gǔ,Bộ Cốt — xương,骨头,gǔtou,xương,Bộ thủ 5 · Cơ thể & sức khỏe
血,xuè,Bộ Huyết — máu,流血,liúxuè,chảy máu,Bộ thủ 5 · Cơ thể & sức khỏe
牙,yá,Bộ Nha — răng,牙齿,yáchǐ,răng,Bộ thủ 5 · Cơ thể & sức khỏe
齿,chǐ,Bộ Xỉ — răng,牙齿,yáchǐ,răng,Bộ thủ 5 · Cơ thể & sức khỏe
皮,pí,Bộ Bì — da,皮肤,pífū,da,Bộ thủ 5 · Cơ thể & sức khỏe
毛,máo,Bộ Mao — lông,羽毛,yǔmáo,lông vũ,Bộ thủ 5 · Cơ thể & sức khỏe
身,shēn,Bộ Thân — thân thể,身体,shēntǐ,cơ thể,Bộ thủ 5 · Cơ thể & sức khỏe
面,miàn,Bộ Diện — mặt,面子,miànzi,thể diện,Bộ thủ 5 · Cơ thể & sức khỏe
首,shǒu,Bộ Thủ — đầu,首都,shǒudū,thủ đô,Bộ thủ 5 · Cơ thể & sức khỏe
肉,ròu,Bộ Nhục — thịt,肉类,ròulèi,các loại thịt,Bộ thủ 5 · Cơ thể & sức khỏe
父,fù,Bộ Phụ — cha,父亲,fùqīn,cha,Bộ thủ 6 · Con người & hành động
士,shì,Bộ Sĩ — kẻ sĩ,士兵,shìbīng,binh lính,Bộ thủ 6 · Con người & hành động
老,lǎo,Bộ Lão — già,老人,lǎorén,người già,Bộ thủ 6 · Con người & hành động
儿,ér,Bộ Nhi — trẻ con,儿子,érzi,con trai,Bộ thủ 6 · Con người & hành động
入,rù,Bộ Nhập — vào,进入,jìnrù,đi vào,Bộ thủ 6 · Con người & hành động
比,bǐ,Bộ Tỉ — so sánh,比较,bǐjiào,so sánh,Bộ thủ 6 · Con người & hành động
立,lì,Bộ Lập — đứng,独立,dúlì,độc lập,Bộ thủ 6 · Con người & hành động
走,zǒu,"Bộ Tẩu — đi, chạy",走路,zǒulù,đi bộ,Bộ thủ 6 · Con người & hành động
飞,fēi,Bộ Phi — bay,飞机,fēijī,máy bay,Bộ thủ 6 · Con người & hành động
行,xíng,"Bộ Hành — đi, làm",行走,xíngzǒu,đi lại,Bộ thủ 6 · Con người & hành động
犬,quǎn,Bộ Khuyển — chó,猎犬,lièquǎn,chó săn,Bộ thủ 7 · Động vật (mở rộng)
虎,hǔ,Bộ Hổ — hổ,老虎,lǎohǔ,con hổ,Bộ thủ 7 · Động vật (mở rộng)
龙,lóng,Bộ Long — rồng,龙王,lóngwáng,long vương,Bộ thủ 7 · Động vật (mở rộng)
龟,guī,Bộ Quy — rùa,乌龟,wūguī,con rùa,Bộ thủ 7 · Động vật (mở rộng)
鹿,lù,"Bộ Lộc — hươu, nai",小鹿,xiǎolù,nai con,Bộ thủ 7 · Động vật (mở rộng)
羽,yǔ,Bộ Vũ — lông vũ,羽毛,yǔmáo,lông vũ,Bộ thủ 7 · Động vật (mở rộng)
角,jiǎo,Bộ Giác — sừng,牛角,niújiǎo,sừng bò,Bộ thủ 7 · Động vật (mở rộng)
贝,bèi,Bộ Bối — vỏ sò (tiền của),宝贝,bǎobèi,bảo bối,Bộ thủ 7 · Động vật (mở rộng)
麦,mài,Bộ Mạch — lúa mì,小麦,xiǎomài,lúa mì,Bộ thủ 8 · Cây cỏ & khoáng vật
麻,má,Bộ Ma — cây gai,麻布,mábù,vải gai,Bộ thủ 8 · Cây cỏ & khoáng vật
瓜,guā,Bộ Qua — quả dưa,西瓜,xīguā,dưa hấu,Bộ thủ 8 · Cây cỏ & khoáng vật
韭,jiǔ,Bộ Cửu — hẹ,韭菜,jiǔcài,rau hẹ,Bộ thủ 8 · Cây cỏ & khoáng vật
谷,gǔ,"Bộ Cốc — thung lũng, thóc",谷物,gǔwù,ngũ cốc,Bộ thủ 8 · Cây cỏ & khoáng vật
玉,yù,Bộ Ngọc — ngọc,玉石,yùshí,ngọc thạch,Bộ thủ 8 · Cây cỏ & khoáng vật
王,wáng,Bộ Vương — vua,国王,guówáng,quốc vương,Bộ thủ 8 · Cây cỏ & khoáng vật
甘,gān,Bộ Cam — ngọt,甘甜,gāntián,ngọt ngào,Bộ thủ 8 · Cây cỏ & khoáng vật
戈,gē,Bộ Qua — giáo mác,干戈,gāngē,can qua (chiến tranh),Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
