chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
吧,ba,"đi, nhé, nhỉ (đứng cuối câu)",请你帮我吧。,qǐng nǐ bāng wǒ ba 。,Bạn giúp tôi nhé.,Đại từ & Câu hỏi
白,bái,trắng,他的白色衬衫很漂亮。,tā de bái sè chèn shān hěn piào liàng 。,Áo sơ mi trắng của anh ấy rất đẹp.,Tính từ & Trạng thái
百,bǎi,trăm,我们要买一百个苹果。,wǒ men yào mǎi yì bǎi gè píng guǒ 。,Chúng tôi muốn mua một trăm quả táo.,Số đếm & Lượng từ
帮助,bāngzhù,giúp đỡ,请你帮忙翻译这篇文章。,qǐng nǐ bāng máng fān yì zhè piān wén zhāng 。,Bạn giúp tôi dịch bài viết này nhé.,Động từ thường dùng
报纸,bàozhǐ,báo,我每天都看报纸。,wǒ měi tiān dōu kàn bào zhǐ 。,Tôi đọc báo mỗi ngày.,Đồ vật & Mua sắm
比,bǐ,so sánh,我的家比你的家大。,wǒ de jiā bǐ nǐ de jiā dà 。,Nhà tôi lớn hơn nhà bạn.,Ngữ pháp & Liên từ
别,bié,"đừng, khác biệt",别忘带钥匙。,bié wàng dài yào shi 。,Đừng quên mang chìa khóa.,Ngữ pháp & Liên từ
长,cháng,dài,她的头发很长。,tā de tóu fà hěn zhǎng 。,Tóc của cô ấy rất dài.,Tính từ & Trạng thái
唱歌,chànggē,hát,我喜欢唱歌。,wǒ xǐ huān chàng gē 。,Tôi thích hát.,Động từ thường dùng
出,chū,ra ngoài,我们出去玩吧。,wǒ men chū qù wán ba 。,Chúng ta ra ngoài chơi nhé.,Động từ thường dùng
穿,chuān,mặc,你穿的衣服很漂亮。,nǐ chuān de yī fú hěn piào liàng 。,Quần áo bạn mặc rất đẹp.,Động từ thường dùng
船,chuán,thuyền,他坐在船上。,tā zuò zài chuán shàng 。,Anh ấy ngồi trên thuyền.,Địa điểm & Giao thông
次,cì,lần,这是我第一次来这里。,zhè shì wǒ dì yī cì lái zhè lǐ 。,Đây là lần đầu tôi đến đây.,Số đếm & Lượng từ
从,cóng,"từ, theo",他从早上工作到晚上。,tā cóng zǎo shàng gōng zuò dào wǎn shàng 。,Anh ấy làm việc từ sáng đến tối.,Ngữ pháp & Liên từ
错,cuò,sai,他做错了一个题。,tā zuò cuò le yí gè tí 。,Anh ấy làm sai một câu.,Tính từ & Trạng thái
打篮球,dǎ lánqiú,chơi bóng rổ,他打篮球打得很好。,tā dǎ lán qiú dǎ dé hěn hǎo 。,Anh ấy chơi bóng rổ rất giỏi.,Động từ thường dùng
大家,dàjiā,mọi người,大家都很高兴。,dà jiā dōu hěn gāo xìng 。,Mọi người đều rất vui.,Gia đình & Con người
但是,dànshì,nhưng,我想去，但是没有时间。,wǒ xiǎng qù ， dàn shì méi yǒu shí jiān 。,"Tôi muốn đi, nhưng không có thời gian.",Ngữ pháp & Liên từ
到,dào,đến,我们今天到学校了。,wǒ men jīn tiān dào xué xiào le 。,Hôm nay chúng tôi đã đến trường.,Động từ thường dùng
得,děi,"phải, đạt được",你得努力学习。,nǐ dé nǔ lì xué xí 。,Bạn phải học chăm chỉ.,Ngữ pháp & Liên từ
等,děng,đợi,我们等你来。,wǒ men děng nǐ lái 。,Chúng tôi đợi bạn đến.,Động từ thường dùng
弟弟,dìdì,em trai,弟弟在玩玩具。,dì di zài wán wán jù 。,Em trai đang chơi đồ chơi.,Gia đình & Con người
第一,dì yī,đầu tiên,他是第一名。,tā shì dì yì míng 。,Anh ấy đứng thứ nhất.,Số đếm & Lượng từ
懂,dǒng,hiểu,我不懂这个问题。,wǒ bù dǒng zhè ge wèn tí 。,Tôi không hiểu vấn đề này.,Động từ thường dùng
对,duì,"đúng, đối với",你对我很好。,nǐ duì wǒ hěn hǎo 。,Bạn rất tốt với tôi.,Tính từ & Trạng thái
房间,fángjiān,phòng,房间里很安静。,fáng jiān lǐ hěn ān jìng 。,Trong phòng rất yên tĩnh.,Địa điểm & Giao thông
非常,fēicháng,"rất, cực kỳ",这道菜非常好吃。,zhè dào cài fēi cháng hǎo chī 。,Món ăn này vô cùng ngon.,Tính từ & Trạng thái
服务员,fúwùyuán,nhân viên phục vụ,服务员请帮忙。,fú wù yuán qǐng bāng máng 。,"Nhân viên phục vụ ơi, làm ơn giúp một chút.",Gia đình & Con người
高,gāo,cao,他很高。,tā hěn gāo 。,Anh ấy rất cao.,Tính từ & Trạng thái
告诉,gàosù,"nói cho, thông báo",请告诉我答案。,qǐng gào sù wǒ dá àn 。,Làm ơn cho tôi biết đáp án.,Động từ thường dùng
哥哥,gēge,anh trai,哥哥在家里。,gē gē zài jiā lǐ 。,Anh trai ở nhà.,Gia đình & Con người
给,gěi,"đưa cho, cho",请给我一本书。,qǐng gěi wǒ yī běn shū 。,Làm ơn đưa cho tôi một cuốn sách.,Động từ thường dùng
公共汽车,gōnggòng qìchē,xe buýt,公共汽车很方便。,gōng gòng qì chē hěn fāng biàn 。,Xe buýt rất tiện lợi.,Địa điểm & Giao thông
公斤,gōngjīn,kilogram (kg),这个包十公斤。,zhè ge bāo shí gōng jīn 。,Cái túi này nặng mười ký.,Số đếm & Lượng từ
公司,gōngsī,công ty,我在公司工作。,wǒ zài gōng sī gōng zuò 。,Tôi làm việc ở công ty.,Địa điểm & Giao thông
贵,guì,"đắt, quý",这件衣服很贵。,zhè jiàn yī fú hěn guì 。,Bộ quần áo này rất đắt.,Tính từ & Trạng thái
过,guò,"qua, đi qua",请过安检门。,qǐng guò ān jiǎn mén 。,Làm ơn đi qua cổng an ninh.,Động từ thường dùng
还,hái,"vẫn, còn",我还想要一杯水。,wǒ hái xiǎng yào yī bēi shuǐ 。,Tôi còn muốn thêm một cốc nước.,Ngữ pháp & Liên từ
孩子,háizi,trẻ con,孩子们都在玩。,hái zi men dōu zài wán 。,Bọn trẻ đều đang chơi.,Gia đình & Con người
好吃,hǎochī,ngon,这道菜很好吃。,zhè dào cài hěn hǎo chī 。,Món ăn này rất ngon.,Đồ ăn & Thức uống
号,hào,"số (như số điện thoại, số nhà)",你的手机号是多少？,nǐ de shǒu jī hào shì duō shǎo ？,Số điện thoại của bạn là bao nhiêu?,Số đếm & Lượng từ
黑,hēi,đen,我的车是黑色的。,wǒ de chē shì hēi sè de 。,Xe của tôi màu đen.,Tính từ & Trạng thái
红,hóng,đỏ,她喜欢红色的衣服。,tā xǐ huān hóng sè de yī fú 。,Cô ấy thích quần áo màu đỏ.,Tính từ & Trạng thái
欢迎,huānyíng,"hoan nghênh, chào mừng",欢迎你来我家。,huān yíng nǐ lái wǒ jiā 。,Chào mừng bạn đến nhà tôi.,Chào hỏi & Lễ phép
回答,huídá,trả lời,请回答我的问题。,qǐng huí dá wǒ de wèn tí 。,Làm ơn trả lời câu hỏi của tôi.,Động từ thường dùng
机场,jīchǎng,sân bay,机场离这里很近。,jī chǎng lí zhè lǐ hěn jìn 。,Sân bay ở gần đây.,Địa điểm & Giao thông
鸡蛋,jīdàn,trứng gà,我喜欢吃鸡蛋。,wǒ xǐ huān chī jī dàn 。,Tôi thích ăn trứng gà.,Đồ ăn & Thức uống
件,jiàn,"cái (dùng cho sự việc, quần áo)",这件衣服很好看。,zhè jiàn yī fú hěn hǎo kàn 。,Bộ quần áo này rất đẹp.,Số đếm & Lượng từ
教室,jiàoshì,lớp học,学生们在教室里学习。,xué shēng men zài jiào shì lǐ xué xí 。,Học sinh học trong lớp học.,Địa điểm & Giao thông
姐姐,jiějie,chị gái,姐姐比我大三岁。,jiě jiě bǐ wǒ dà sān suì 。,Chị gái lớn hơn tôi ba tuổi.,Gia đình & Con người
介绍,jièshào,giới thiệu,请介绍一下你自己。,qǐng jiè shào yī xià nǐ zì jǐ 。,Làm ơn giới thiệu về bản thân bạn.,Chào hỏi & Lễ phép
进,jìn,vào,请进，别客气。,qǐng jìn ， bié kè qì 。,"Mời vào, đừng khách sáo.",Động từ thường dùng
近,jìn,gần,学校离我家很近。,xué xiào lí wǒ jiā hěn jìn 。,Trường học ở gần nhà tôi.,Tính từ & Trạng thái
就,jiù,"thì, ngay",他就住在我家旁边。,tā jiù zhù zài wǒ jiā páng biān 。,Anh ấy ở ngay cạnh nhà tôi.,Ngữ pháp & Liên từ
觉得,juéde,cảm thấy,我觉得今天很热。,wǒ jué de jīn tiān hěn rè 。,Tôi cảm thấy hôm nay rất nóng.,Động từ thường dùng
咖啡,kāfēi,cà phê,我每天早上喝咖啡。,wǒ měi tiān zǎo shàng hē kā fēi 。,Tôi uống cà phê mỗi sáng.,Đồ ăn & Thức uống
开始,kāishǐ,bắt đầu,我们现在开始上课。,wǒ men xiàn zài kāi shǐ shàng kè 。,Bây giờ chúng ta bắt đầu vào học.,Động từ thường dùng
考试,kǎoshì,thi,我准备好考试了。,wǒ zhǔn bèi hǎo kǎo shì le 。,Tôi đã chuẩn bị xong cho kỳ thi.,Học tập & Công việc
可能,kěnéng,có thể,可能会下雨。,kě néng huì xià yǔ 。,Có thể trời sẽ mưa.,Ngữ pháp & Liên từ
可以,kěyǐ,có thể,你可以坐在这里。,nǐ kě yǐ zuò zài zhè lǐ 。,Bạn có thể ngồi ở đây.,Ngữ pháp & Liên từ
课,kè,bài học,我们今天有三节课。,wǒ men jīn tiān yǒu sān jié kè 。,Hôm nay chúng tôi có ba tiết học.,Học tập & Công việc
快,kuài,nhanh,他跑得很快。,tā pǎo dé hěn kuài 。,Anh ấy chạy rất nhanh.,Tính từ & Trạng thái
快乐,kuàilè,vui vẻ,祝你生日快乐。,zhù nǐ shēng rì kuài lè 。,Chúc bạn sinh nhật vui vẻ.,Tính từ & Trạng thái
累,lèi,mệt,我累了，想休息一下。,wǒ lèi le ， xiǎng xiū xī yī xià 。,"Tôi mệt rồi, muốn nghỉ một chút.",Tính từ & Trạng thái
离,lí,"cách (khoảng cách), rời",学校离我家不远。,xué xiào lí wǒ jiā bù yuǎn 。,Trường học không xa nhà tôi.,Địa điểm & Giao thông
两,liǎng,hai (khi đếm số lượng),我有两个弟弟。,wǒ yǒu liǎng gè dì di 。,Tôi có hai em trai.,Số đếm & Lượng từ
路,lù,đường,这条路很长。,zhè tiáo lù hěn zhǎng 。,Con đường này rất dài.,Địa điểm & Giao thông
旅游,lǚyóu,du lịch,我喜欢旅游。,wǒ xǐ huān lǚ yóu 。,Tôi thích du lịch.,Động từ thường dùng
卖,mài,bán,他在商店里卖东西。,tā zài shāng diàn lǐ mài dōng xī 。,Anh ấy bán hàng trong cửa hàng.,Động từ thường dùng
慢,màn,chậm,他走得很慢。,tā zǒu dé hěn màn 。,Anh ấy đi rất chậm.,Tính từ & Trạng thái
忙,máng,bận,我今天很忙。,wǒ jīn tiān hěn máng 。,Hôm nay tôi rất bận.,Tính từ & Trạng thái
每,měi,mỗi,每个人都有机会。,měi gè rén dōu yǒu jī huì 。,Mỗi người đều có cơ hội.,Số đếm & Lượng từ
妹妹,mèimei,em gái,妹妹在唱歌。,mèi mèi zài chàng gē 。,Em gái đang hát.,Gia đình & Con người
门,mén,cửa,他站在门口。,tā zhàn zài mén kǒu 。,Anh ấy đứng ở cửa.,Địa điểm & Giao thông
男人,nánrén,đàn ông,那个男人很高。,nà ge nán rén hěn gāo 。,Người đàn ông đó rất cao.,Gia đình & Con người
您,nín,bạn (dùng lịch sự),您好，请进。,nín hǎo ， qǐng jìn 。,"Xin chào, mời vào.",Chào hỏi & Lễ phép
牛奶,niúnǎi,sữa bò,我每天早上喝牛奶。,wǒ měi tiān zǎo shàng hē niú nǎi 。,Tôi uống sữa mỗi sáng.,Đồ ăn & Thức uống
女人,nǚrén,phụ nữ,那个女人是我妈妈。,nà ge nǚ rén shì wǒ mā mā 。,Người phụ nữ đó là mẹ tôi.,Gia đình & Con người
旁边,pángbiān,bên cạnh,学校在我家旁边。,xué xiào zài wǒ jiā páng biān 。,Trường học ở cạnh nhà tôi.,Địa điểm & Giao thông
跑步,pǎobù,chạy bộ,我每天早上跑步。,wǒ měi tiān zǎo shàng pǎo bù 。,Tôi chạy bộ mỗi sáng.,Động từ thường dùng
便宜,piányí,rẻ,这件衣服很便宜。,zhè jiàn yī fú hěn pián yi 。,Bộ quần áo này rất rẻ.,Tính từ & Trạng thái
票,piào,vé,我买了两张电影票。,wǒ mǎi le liǎng zhāng diàn yǐng piào 。,Tôi đã mua hai vé xem phim.,Đồ vật & Mua sắm
妻子,qīzi,vợ,这是我的妻子。,zhè shì wǒ de qī zǐ 。,Đây là vợ tôi.,Gia đình & Con người
起床,qǐchuáng,dậy (rời khỏi giường),我每天六点起床。,wǒ měi tiān liù diǎn qǐ chuáng 。,Tôi thức dậy lúc sáu giờ mỗi ngày.,Động từ thường dùng
千,qiān,nghìn,我有一千块钱。,wǒ yǒu yī qiān kuài qián 。,Tôi có một nghìn đồng.,Số đếm & Lượng từ
晴,qíng,"nắng, quang đãng",今天是晴天。,jīn tiān shì qíng tiān 。,Hôm nay trời nắng.,Thời tiết & Sức khỏe
去年,qùnián,năm ngoái,我去年去了中国。,wǒ qù nián qù le zhōng guó 。,Năm ngoái tôi đã đến Trung Quốc.,Thời gian
让,ràng,"để, làm cho, nhường",请让他进来。,qǐng ràng tā jìn lái 。,Làm ơn để anh ấy vào.,Động từ thường dùng
上班,shàngbān,đi làm,我每天八点上班。,wǒ měi tiān bā diǎn shàng bān 。,Tôi đi làm lúc tám giờ mỗi ngày.,Học tập & Công việc
