hoiThoai,icon,nguoi,cau,pinyin,nghia
Chào hỏi & Làm quen,你,A,你好！,nǐ hǎo ！,Xin chào!
Chào hỏi & Làm quen,,B,你好！你叫什么名字？,nǐ hǎo ！ nǐ jiào shén me míng zì ？,Xin chào! Bạn tên là gì?
Chào hỏi & Làm quen,,A,我叫小明。你呢？,wǒ jiào xiǎo míng 。 nǐ ne ？,Tôi tên Tiểu Minh. Còn bạn?
Chào hỏi & Làm quen,,B,我叫李娜。很高兴认识你。,wǒ jiào lǐ nà 。 hěn gāo xìng rèn shí nǐ 。,Tôi tên Lý Na. Rất vui được làm quen.
Chào hỏi & Làm quen,,A,我也很高兴。,wǒ yě hěn gāo xìng 。,Tôi cũng rất vui.
Chào hỏi & Làm quen,,B,再见！,zài jiàn ！,Tạm biệt!
Chào hỏi & Làm quen,,A,明天见！,míng tiān jiàn ！,Hẹn gặp lại ngày mai!
Ở nhà hàng,饭,A,服务员，请给我菜单。,fú wù yuán ， qǐng gěi wǒ cài dān 。,"Nhân viên ơi, cho tôi thực đơn."
Ở nhà hàng,,B,好的，请稍等。,hǎo de ， qǐng shāo děng 。,"Vâng, xin chờ một chút."
Ở nhà hàng,,A,我要一碗米饭和一杯茶。,wǒ yào yī wǎn mǐ fàn hé yī bēi chá 。,Tôi muốn một bát cơm và một cốc trà.
Ở nhà hàng,,B,还要别的吗？,hái yào bié de ma ？,Còn cần gì nữa không?
Ở nhà hàng,,A,不用了，谢谢。,bù yòng le ， xiè xiè 。,"Không cần nữa, cảm ơn."
Ở nhà hàng,,B,一共三十块。,yī gòng sān shí kuài 。,Tổng cộng ba mươi đồng.
Mua sắm,买,A,这件衣服多少钱？,zhè jiàn yī fú duō shǎo qián ？,Bộ quần áo này bao nhiêu tiền?
Mua sắm,,B,一百块。,yì bǎi kuài 。,Một trăm đồng.
Mua sắm,,A,太贵了，便宜一点吧。,tài guì le ， pián yi yì diǎn ba 。,"Đắt quá, rẻ một chút đi."
Mua sắm,,B,好，九十块。,hǎo ， jiǔ shí kuài 。,"Được, chín mươi đồng."
Mua sắm,,A,好的，我买了。,hǎo de ， wǒ mǎi le 。,"Được, tôi mua."
Hỏi đường,路,A,请问，火车站在哪儿？,qǐng wèn ， huǒ chē zhàn zài nǎ ér ？,"Xin hỏi, ga tàu ở đâu?"
Hỏi đường,,B,一直走，然后向左走。,yì zhí zǒu ， rán hòu xiàng zuǒ zǒu 。,"Đi thẳng, rồi rẽ trái."
Hỏi đường,,A,离这儿远吗？,lí zhè ér yuǎn ma ？,Có xa đây không?
Hỏi đường,,B,不远，很近。,bù yuǎn ， hěn jìn 。,"Không xa, rất gần."
Hỏi đường,,A,谢谢你！,xiè xiè nǐ ！,Cảm ơn bạn!
Hỏi đường,,B,不客气。,bú kè qì 。,Không có gì.
Sở thích hằng ngày,玩,A,你喜欢做什么？,nǐ xǐ huān zuò shén me ？,Bạn thích làm gì?
Sở thích hằng ngày,,B,我喜欢看电影和游泳。你呢？,wǒ xǐ huān kàn diàn yǐng hé yóu yǒng 。 nǐ ne ？,Tôi thích xem phim và bơi. Còn bạn?
Sở thích hằng ngày,,A,我喜欢听音乐。,wǒ xǐ huān tīng yīn yuè 。,Tôi thích nghe nhạc.
Sở thích hằng ngày,,B,我们周末一起去玩吧。,wǒ men zhōu mò yì qǐ qù wán ba 。,Cuối tuần chúng ta cùng đi chơi nhé.
Sở thích hằng ngày,,A,好啊！,hǎo a ！,Được đấy!
